Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-07-14,MARUTI,EQ,7430.35,7436.0,7449.0,7310.0,7325.0,7326.75,7343.64,460178,337938058560000.0,60474,186672,0.4057
2021-07-15,MARUTI,EQ,7326.75,7357.0,7358.0,7268.0,7305.0,7307.0,7300.47,430055,313960545920000.0,52872,206473,0.48009999999999997
2021-07-16,MARUTI,EQ,7307.0,7333.0,7333.0,7272.8,7296.95,7303.55,7299.47,281552,205517940770000.0,34289,143479,0.5096
2021-07-19,MARUTI,EQ,7303.55,7251.7,7297.0,7151.1,7179.0,7165.55,7205.57,386598,278565974175000.0,62117,150598,0.3895
2021-07-20,MARUTI,EQ,7165.55,7180.0,7265.0,7144.45,7220.0,7232.7,7203.49,413816,298091850610000.0,52165,142420,0.3442
2021-07-22,MARUTI,EQ,7232.7,7302.0,7325.0,7246.3,7287.0,7299.55,7297.27,439934,321031593720000.0,54932,259844,0.5906
2021-07-23,MARUTI,EQ,7299.55,7300.0,7375.0,7277.0,7283.5,7293.85,7334.62,436330,320031444260000.0,55896,207353,0.47520000000000007
2021-07-26,MARUTI,EQ,7293.85,7307.0,7360.0,7180.0,7236.0,7235.8,7241.33,431758,312650084330000.0,60183,207254,0.48
2021-07-27,MARUTI,EQ,7235.8,7241.3,7320.0,7160.85,7243.3,7240.25,7242.97,417171,302155859595000.0,49284,192839,0.4623
2021-07-28,MARUTI,EQ,7240.25,7280.0,7312.0,7063.0,7145.0,7165.05,7195.08,739427,532023932975000.0,100898,255290,0.3453
2021-07-29,MARUTI,EQ,7165.05,7130.0,7130.0,6936.0,6999.0,6993.5,7011.57,1519226,1065216575875000.0,152249,700971,0.46140000000000003
2021-07-30,MARUTI,EQ,6993.5,7000.0,7095.0,6964.9,6994.0,6977.7,7019.44,715546,502273435814999.94,81523,342335,0.47840000000000005
2021-08-02,MARUTI,EQ,6977.7,7100.0,7107.45,7031.0,7073.0,7076.95,7063.48,433760,306385501785000.0,50547,189072,0.43590000000000007
2021-08-03,MARUTI,EQ,7076.95,7124.95,7221.0,7086.1,7193.0,7199.4,7142.67,470570,336112562655000.0,45616,197209,0.4191
2021-08-04,MARUTI,EQ,7199.4,7220.0,7248.6,7003.5,7120.0,7102.9,7137.39,484122,345536747225000.0,71352,154278,0.31870000000000004
